,start_station_name,rideable_type,season,Total,Grand Total
0,1 Ave & E 68 St,Classic Bike,Fall,14736,104856
1,1 Ave & E 68 St,Classic Bike,Spring,15016,104856
2,1 Ave & E 68 St,Classic Bike,Summer,19145,104856
3,1 Ave & E 68 St,Classic Bike,Winter,7940,104856
4,1 Ave & E 68 St,Electric Bike,Fall,14289,104856
5,1 Ave & E 68 St,Electric Bike,Spring,10689,104856
6,1 Ave & E 68 St,Electric Bike,Summer,14220,104856
7,1 Ave & E 68 St,Electric Bike,Winter,8821,104856
8,11 Ave & W 41 St,Classic Bike,Fall,12806,87577
9,11 Ave & W 41 St,Classic Bike,Spring,13152,87577
10,11 Ave & W 41 St,Classic Bike,Summer,20832,87577
11,11 Ave & W 41 St,Classic Bike,Winter,6010,87577
12,11 Ave & W 41 St,Electric Bike,Fall,9890,87577
13,11 Ave & W 41 St,Electric Bike,Spring,7670,87577
14,11 Ave & W 41 St,Electric Bike,Summer,10608,87577
15,11 Ave & W 41 St,Electric Bike,Winter,6609,87577
16,12 Ave & W 40 St,Classic Bike,Fall,16988,90414
17,12 Ave & W 40 St,Classic Bike,Spring,16800,90414
18,12 Ave & W 40 St,Classic Bike,Summer,28743,90414
19,12 Ave & W 40 St,Classic Bike,Winter,4268,90414
20,12 Ave & W 40 St,Electric Bike,Fall,7416,90414
21,12 Ave & W 40 St,Electric Bike,Spring,4766,90414
22,12 Ave & W 40 St,Electric Bike,Summer,8632,90414
23,12 Ave & W 40 St,Electric Bike,Winter,2801,90414
24,6 Ave & W 33 St,Classic Bike,Fall,19297,106440
25,6 Ave & W 33 St,Classic Bike,Spring,19054,106440
26,6 Ave & W 33 St,Classic Bike,Summer,26107,106440
27,6 Ave & W 33 St,Classic Bike,Winter,7827,106440
28,6 Ave & W 33 St,Electric Bike,Fall,10143,106440
29,6 Ave & W 33 St,Electric Bike,Spring,7724,106440
30,6 Ave & W 33 St,Electric Bike,Summer,10577,106440
31,6 Ave & W 33 St,Electric Bike,Winter,5711,106440
32,6 Ave & W 34 St,Classic Bike,Fall,14431,89683
33,6 Ave & W 34 St,Classic Bike,Spring,15886,89683
34,6 Ave & W 34 St,Classic Bike,Summer,21205,89683
35,6 Ave & W 34 St,Classic Bike,Winter,6676,89683
36,6 Ave & W 34 St,Electric Bike,Fall,8682,89683
