,end_station_name,rideable_type,season,Total,Grand Total
0,1 Ave & E 68 St,Classic Bike,Fall,14813,105121
1,1 Ave & E 68 St,Classic Bike,Spring,15068,105121
2,1 Ave & E 68 St,Classic Bike,Summer,19085,105121
3,1 Ave & E 68 St,Classic Bike,Winter,7786,105121
4,1 Ave & E 68 St,Electric Bike,Fall,14425,105121
5,1 Ave & E 68 St,Electric Bike,Spring,10818,105121
6,1 Ave & E 68 St,Electric Bike,Summer,14319,105121
7,1 Ave & E 68 St,Electric Bike,Winter,8807,105121
8,11 Ave & W 41 St,Classic Bike,Fall,12777,87541
9,11 Ave & W 41 St,Classic Bike,Spring,13107,87541
10,11 Ave & W 41 St,Classic Bike,Summer,20817,87541
11,11 Ave & W 41 St,Classic Bike,Winter,5960,87541
12,11 Ave & W 41 St,Electric Bike,Fall,9927,87541
13,11 Ave & W 41 St,Electric Bike,Spring,7669,87541
14,11 Ave & W 41 St,Electric Bike,Summer,10658,87541
15,11 Ave & W 41 St,Electric Bike,Winter,6626,87541
16,12 Ave & W 40 St,Classic Bike,Fall,17298,92162
17,12 Ave & W 40 St,Classic Bike,Spring,16956,92162
18,12 Ave & W 40 St,Classic Bike,Summer,29391,92162
19,12 Ave & W 40 St,Classic Bike,Winter,4483,92162
20,12 Ave & W 40 St,Electric Bike,Fall,7529,92162
21,12 Ave & W 40 St,Electric Bike,Spring,4826,92162
22,12 Ave & W 40 St,Electric Bike,Summer,8802,92162
23,12 Ave & W 40 St,Electric Bike,Winter,2877,92162
24,6 Ave & W 33 St,Classic Bike,Fall,19158,104937
25,6 Ave & W 33 St,Classic Bike,Spring,18918,104937
26,6 Ave & W 33 St,Classic Bike,Summer,25428,104937
27,6 Ave & W 33 St,Classic Bike,Winter,7851,104937
28,6 Ave & W 33 St,Electric Bike,Fall,10026,104937
29,6 Ave & W 33 St,Electric Bike,Spring,7654,104937
30,6 Ave & W 33 St,Electric Bike,Summer,10117,104937
31,6 Ave & W 33 St,Electric Bike,Winter,5785,104937
32,6 Ave & W 34 St,Classic Bike,Fall,13977,86809
33,6 Ave & W 34 St,Classic Bike,Spring,15303,86809
34,6 Ave & W 34 St,Classic Bike,Summer,20434,86809
35,6 Ave & W 34 St,Classic Bike,Winter,6465,86809
36,6 Ave & W 34 St,Electric Bike,Fall,8352,86809
37,6 Ave & W 34 St,Electric Bike,Spring,7370,86809
38,6 Ave & W 34 St,Electric Bike,Summer,9499,86809
39,6 Ave & W 34 St,Electric Bike,Winter,5409,86809
40,8 Ave & W 33 St,Classic Bike,Fall,13884,86421
