,Date,Average Temperature,Daily Rides,Daily Classic Rides
0,2022-01-01,11.6,20428,11399
1,2022-01-02,11.4,43009,26857
2,2022-01-03,1.4,33189,19583
3,2022-01-04,-2.7,36842,22476
4,2022-01-05,3.2,34230,20676
5,2022-01-06,4.9,44787,27358
6,2022-01-07,0.7,17401,9673
7,2022-01-08,-2.5,24455,14413
8,2022-01-09,1.4,21479,12523
9,2022-01-10,1.6,34727,21358
10,2022-01-11,-5.4,26824,16068
11,2022-01-12,-1.9,40568,25088
12,2022-01-13,4.0,50572,30395
13,2022-01-14,4.8,45714,26073
14,2022-01-15,-6.7,22839,12480
15,2022-01-16,-8.0,20930,11867
16,2022-01-17,3.9,29084,16051
17,2022-01-18,1.8,42935,24356
18,2022-01-19,3.2,54011,31204
19,2022-01-20,5.1,33928,18385
20,2022-01-21,-6.0,33598,17943
21,2022-01-22,-5.9,31969,17864
22,2022-01-23,-0.7,32967,18637
23,2022-01-24,-0.2,41488,23621
24,2022-01-25,3.6,50692,28846
25,2022-01-26,-2.3,42005,22941
26,2022-01-27,-4.2,43830,23873
27,2022-01-28,0.1,34871,18336
28,2022-01-29,-4.8,2848,1333
29,2022-01-30,-7.1,9486,5079
30,2022-01-31,-3.4,22349,11823
31,2022-02-01,-1.7,29338,15534
32,2022-02-02,2.3,41947,22997
33,2022-02-03,6.4,26568,13247
34,2022-02-04,5.8,20309,9953
35,2022-02-05,-2.8,29638,16545
36,2022-02-06,-4.8,28887,16388
37,2022-02-07,0.5,30717,17146
38,2022-02-08,4.1,51893,30138
39,2022-02-09,2.8,56007,32464
40,2022-02-10,6.3,61937,35870
41,2022-02-11,8.6,64614,36487
42,2022-02-12,11.8,68575,42455
43,2022-02-13,2.8,20384,10894
44,2022-02-14,-4.3,34198,18631
45,2022-02-15,-4.7,40550,21409
46,2022-02-16,1.6,53683,29206
47,2022-02-17,11.6,67432,39124
48,2022-02-18,9.9,47038,25322
49,2022-02-19,0.1,32450,17056
50,2022-02-20,-2.6,31051,16145
51,2022-02-21,4.1,52366,29855
52,2022-02-22,5.6,36459,19588
53,2022-02-23,14.4,66325,37537
54,2022-02-24,1.1,44725,24442
55,2022-02-25,0.8,30412,15247
56,2022-02-26,-1.1,41415,21690
57,2022-02-27,2.4,42805,23260
58,2022-02-28,0.8,45636,26301
59,2022-03-01,2.6,56019,31714
60,2022-03-02,7.7,67108,39087
61,2022-03-03,5.6,55408,32061
62,2022-03-04,-1.9,49704,26782
63,2022-03-05,3.1,51358,28381
64,2022-03-06,9.6,54531,30740
65,2022-03-07,18.2,67882,41193
66,2022-03-08,8.7,62178,36271
67,2022-03-09,3.2,28088,13842
68,2022-03-10,4.0,66071,37436
69,2022-03-11,7.2,69316,39044
70,2022-03-12,5.1,19628,9864
71,2022-03-13,-2.3,30833,16695
72,2022-03-14,5.3,63206,36604
73,2022-03-15,11.6,78946,48111
74,2022-03-16,13.6,81449,52293
75,2022-03-17,8.2,50004,28715
76,2022-03-18,13.9,92837,56924
77,2022-03-19,13.1,77861,55084
78,2022-03-20,14.3,65417,43109
79,2022-03-21,10.4,73209,46933
80,2022-03-22,10.7,75235,45649
81,2022-03-23,7.2,60865,35438
82,2022-03-24,5.7,45793,24526
83,2022-03-25,9.6,74873,43538
84,2022-03-26,10.4,62151,37918
85,2022-03-27,5.9,45625,25593
86,2022-03-28,-1.5,38135,20672
87,2022-03-29,-1.2,48426,26894
88,2022-03-30,2.6,61254,35851
89,2022-03-31,9.9,72625,43665
90,2022-04-01,13.1,68479,39503
91,2022-04-02,7.2,73254,45810
92,2022-04-03,7.0,37164,20921
93,2022-04-04,7.6,68902,40238
94,2022-04-05,9.7,72629,44165
95,2022-04-06,8.6,48443,26796
96,2022-04-07,9.1,35322,20054
97,2022-04-08,12.8,88195,55539
98,2022-04-09,11.4,67329,42941
99,2022-04-10,8.6,57144,35544
100,2022-04-11,8.8,75355,47664
101,2022-04-12,13.4,93575,69143
102,2022-04-13,15.4,98764,76811
103,2022-04-14,16.3,90635,60183
104,2022-04-15,15.7,99636,66077
105,2022-04-16,15.7,82188,58528
106,2022-04-17,8.3,54110,33967
107,2022-04-18,7.9,55811,33603
108,2022-04-19,7.6,58873,33200
109,2022-04-20,9.4,85294,52686
110,2022-04-21,10.6,77520,48847
111,2022-04-22,14.6,97494,65026
112,2022-04-23,13.3,94585,68482
113,2022-04-24,12.8,83406,62924
114,2022-04-25,10.4,72682,46547
115,2022-04-26,11.5,74947,45631
116,2022-04-27,11.6,82446,50637
117,2022-04-28,8.2,78531,47169
118,2022-04-29,10.4,87089,54023
119,2022-04-30,12.9,101537,71606
120,2022-05-01,13.6,94657,68018
121,2022-05-02,12.1,54536,33192
122,2022-05-03,12.4,92564,58618
123,2022-05-04,12.0,79594,48438
124,2022-05-05,17.2,110355,72269
125,2022-05-06,14.8,35170,18478
126,2022-05-07,10.0,20557,9478
127,2022-05-08,10.4,62745,35719
128,2022-05-09,13.5,93995,59833
129,2022-05-10,15.4,104600,67176
130,2022-05-11,16.1,107079,68680
131,2022-05-12,17.1,110862,73049
132,2022-05-13,16.0,95861,57951
133,2022-05-14,17.9,79812,52997
134,2022-05-15,18.8,108477,76843
135,2022-05-16,20.4,79295,54120
136,2022-05-17,19.7,117412,80787
137,2022-05-18,17.8,117596,83101
138,2022-05-19,15.5,90207,57604
139,2022-05-20,15.4,85189,52816
140,2022-05-21,21.2,115215,84458
141,2022-05-22,27.8,103604,84721
142,2022-05-23,21.0,101563,81545
143,2022-05-24,17.4,104949,75545
144,2022-05-25,16.2,114182,78571
145,2022-05-26,16.4,111106,74703
146,2022-05-27,20.2,89185,54995
147,2022-05-28,20.4,82607,52406
148,2022-05-29,20.7,101235,74226
149,2022-05-30,23.3,100732,71790
150,2022-05-31,28.3,100360,68805
151,2022-06-01,17.8,88070,57070
152,2022-06-02,20.3,98712,61006
153,2022-06-03,19.5,120876,78922
154,2022-06-04,21.9,127507,93893
155,2022-06-05,20.0,115902,87491
156,2022-06-06,22.2,110255,77607
157,2022-06-07,21.8,103639,70608
158,2022-06-08,23.7,123906,83306
159,2022-06-09,24.4,115009,78091
160,2022-06-10,21.8,122508,82274
161,2022-06-11,21.8,115603,80972
162,2022-06-12,20.5,90287,60202
163,2022-06-13,24.2,111525,77344
164,2022-06-14,23.9,123640,86170
165,2022-06-15,23.3,127915,88874
166,2022-06-16,20.3,102031,63533
167,2022-06-17,25.2,119656,79047
168,2022-06-18,21.7,108577,72247
169,2022-06-19,17.3,105636,72002
170,2022-06-20,20.5,114193,79515
171,2022-06-21,22.1,99400,62634
172,2022-06-22,19.1,94428,55868
173,2022-06-23,19.2,117321,75358
174,2022-06-24,21.9,124257,81231
175,2022-06-25,25.8,118493,82699
176,2022-06-26,27.0,106089,75094
177,2022-06-27,24.3,79616,49771
178,2022-06-28,22.4,121346,81318
179,2022-06-29,23.9,121539,81444
180,2022-06-30,25.4,116209,74224
181,2022-07-01,28.1,103432,64591
182,2022-07-02,28.7,88943,63494
183,2022-07-03,26.9,89364,57449
184,2022-07-04,25.6,94692,62126
185,2022-07-05,25.9,88946,57320
186,2022-07-06,26.0,112874,74223
187,2022-07-07,24.2,114752,75400
188,2022-07-08,23.5,98312,60309
189,2022-07-09,24.7,123237,84745
190,2022-07-10,23.4,115594,80833
191,2022-07-11,24.0,111362,74006
192,2022-07-12,25.8,111767,74093
193,2022-07-13,28.9,120853,80355
194,2022-07-14,26.6,120450,79549
195,2022-07-15,26.1,119355,76968
196,2022-07-16,24.3,111650,73688
197,2022-07-17,25.7,111004,73233
198,2022-07-18,26.2,83439,50050
199,2022-07-19,28.2,119752,76241
200,2022-07-20,31.3,117760,72966
201,2022-07-21,29.8,109101,66361
202,2022-07-22,30.9,111786,66889
203,2022-07-23,30.3,107728,66889
204,2022-07-24,31.1,99639,60851
205,2022-07-25,29.8,96351,57363
206,2022-07-26,25.9,122455,77466
207,2022-07-27,25.5,125081,79845
208,2022-07-28,26.7,117505,71827
209,2022-07-29,28.2,114611,69033
210,2022-07-30,26.7,123256,75981
211,2022-07-31,26.3,112671,71959
212,2022-08-01,23.1,98167,58647
213,2022-08-02,26.4,120945,75290
214,2022-08-03,27.6,124946,78586
215,2022-08-04,29.1,118082,71628
216,2022-08-05,29.3,114401,68151
217,2022-08-06,29.6,123062,81609
218,2022-08-07,29.6,95005,58951
219,2022-08-08,30.3,104188,64787
220,2022-08-09,31.3,109152,64767
221,2022-08-10,27.2,123692,77531
222,2022-08-11,26.6,114225,69392
223,2022-08-12,25.6,122804,78823
224,2022-08-13,23.1,132252,91260
225,2022-08-14,24.0,111858,74573
226,2022-08-15,24.3,111846,69973
227,2022-08-16,23.6,122538,75440
228,2022-08-17,23.6,120504,72782
229,2022-08-18,24.1,121945,72819
230,2022-08-19,26.3,120752,70126
231,2022-08-20,27.9,128688,83165
232,2022-08-21,25.3,110432,69148
233,2022-08-22,24.5,85908,49597
234,2022-08-23,25.9,118449,70545
235,2022-08-24,26.9,122883,74601
236,2022-08-25,28.1,120158,72544
237,2022-08-26,27.4,108773,63457
238,2022-08-27,27.8,117835,73159
239,2022-08-28,24.6,107815,69340
240,2022-08-29,26.0,108140,67630
241,2022-08-30,26.8,113460,69635
242,2022-08-31,25.6,123277,75371
